"Name","Desc","Category","Secret","Sources","Kind","Count"
"Jackpot","Win a pulse rifle from an arcade machine","Misc","no","BeeStation, Monkestation, Shiptest, TGStation","achievement","4"
"Time waster","Speak no evil, hear no evil, see just errors","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Round and Full","Well at least you aren't down the river, I hear they eat people there.","Misc","no","BeeStation, Monkestation, TGStation","achievement","3"
"The Best Driver","100 honks later","Misc","no","BeeStation, Monkestation, TGStation","achievement","3"
"Getting an upgrade","Make your first unique material item!","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Disk, Please!","Is the man currently pointing a loaded rocket launcher at your head point blank really dumb enough to pull the trigger? Do you really want to find out?","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"My Watchlist Status is Not Important","You may be under the impression that violent video games are a harmless pastime, but the security and medical personnel swarming your location with batons and knockout gas look like they disagree.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"I Was a Teenage Anarchist","You were doing a great job sticking it to the system until that vending machine decided to fight back.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"A Bowl-d New World","There's a lot of grisly ways to kick it on the Spinward Periphery, but drowning to death in a toilet probably wasn't what you had in mind. Probably.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"How Do I Switch Hands???","If you saw someone casually club themselves upside the head with a toolbox anywhere in the galaxy but here, you'd probably be pretty concerned for them.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"One Lean, Mean, Cleaning Machine","How does it feel to know that your workplace values a mop bucket on wheels more than you?","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Rule 8","Call an admin this is ILLEGAL!!","Misc","no","TGStation","achievement","1"
"Long shift","Well, that didn't take long.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Look Out, Sir!","Either awarded for making the ultimate sacrifice for your comrades, or a really dumb attempt at grenade jumping.","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"HA, GOTTEM","Made you look!","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Ascension","Caedite eos. Novit enim Dominus qui sunt eius.","Misc","no","Monkestation, TGStation","achievement","2"
"Nightwatcher's Eyes","You've risen above the flames, became one with the ashes. You've been reborn as one with the Nightwatcher.","Misc","no","Monkestation, TGStation","achievement","2"
"Vortex of Arms","You've became something more, something greater. A piece of the emperor resides within you, and you within him.","Misc","no","Monkestation, TGStation","achievement","2"
"Hills of Rust","You've summoned a piece of the Hill of rust, and so the Hills welcome you.","Misc","no","Monkestation, TGStation","achievement","2"
"All that perish","Place of a different being, different time. Everything ends there... but maybe it is just the beginning?","Misc","no","Monkestation, TGStation","achievement","2"
"Silver and Steel","You've become the master of all duellists - the paragon of blades.","Misc","no","Monkestation, TGStation","achievement","2"
"It arrived","You managed to teleport an entity on the station that really shouldn't be there.","Misc","no","Monkestation, TGStation","achievement","2"
"Secrets of the Locked Labyrinth","You managed to open a gate into the mansus.","Misc","no","TGStation","achievement","1"
"The Last Act","You managed to become the ringleader and slay the lie.","Misc","no","Monkestation, TGStation","achievement","2"
"Archmage","Made a big impression on the station with your phenomenal cosmic power.","Misc","no","Monkestation, TGStation","achievement","2"
"SOUL'd Out","My eternal soul was destroyed to make a toolbox look funny and all I got was this achievement...","Misc","no","Monkestation, TGStation","achievement","2"
"Hot Damn!","Sometimes you need to make some noise to make a point.","Misc","no","Monkestation, TGStation","achievement","2"
"Very Important Piscis","You can rest well now.","Misc","no","BeeStation, Monkestation, TGStation","achievement","3"
"Tram Surfer","Lights out, guerilla radio!","Misc","no","Monkestation, TGStation","achievement","2"
"WHAT JUST HAPPENED","As a blood cultist, be part of a team that summons 3 shuttle curses within 10 seconds. Imagine cleaning up after them, g r o s s!","Misc","no","Monkestation, TGStation","achievement","2"
"Clickbait","Where's my free smartphone?!?","Misc","no","Monkestation, TGStation","achievement","2"
"If Nar'Sie is so good, why isn't there a...","Even interdimensional space deitys need a friend.","Misc","no","Monkestation, TGStation","achievement","2"
"The Man Inside the MODsuit","Ignore the warning label on a springlock MODsuit.","Misc","no","Monkestation, TGStation","achievement","2"
"The Picture of Health","Don't be such a baby, it's just a heart attack. You've bounced back from worse!","Misc","no","Monkestation, TGStation","achievement","2"
"God's Wrath","Did you think you could get away with defiling the word of God?","Misc","no","Monkestation, TGStation","achievement","2"
"A Nasty Fall","...And the earth opened its mouth and swallowed them and their station- all the HOP's men and all their possessions.","Misc","no","TGStation","achievement","1"
"Outdebted","I've paid my dues, shift after shift... I've done my sentence but commited no griff...","Misc","no","Monkestation, TGStation","achievement","2"
"Ordeal of Sisyphus","Successfully carry a boulder from Lavaland all the way to Centcom, without ever dropping it. We must imagine you're happy to unlock this.","Misc","no","TGStation","achievement","1"
"Unhealthy Snacks","You were curious to taste it. And then another. You must have more!","Misc","no","TGStation","achievement","1"
"You're What You Eat","Nutritionists often recommend a balanced and varied diet. However that clearly isn't the case for some creatures.","Misc","no","TGStation","achievement","1"
"In Flanders Fields","","Misc","no","TGStation","achievement","1"
"Hardcore random points","Well, I might be a blind, deaf, crippled guy, but hey, at least I'm alive.","Misc","no","Monkestation, TGStation","score","2"
"Maintenance Pills Consumed","Wait why?","Misc","no","Monkestation, TGStation","score","2"
"Intento Score","A blast from the future?","Misc","no","Monkestation, TGStation","score","2"
"Style Score","You might not be a robot, but you were damn close.","Misc","no","Monkestation, TGStation","score","2"
"Fish Species Caught","How many different species of fish you've caught so far. Gotta fish 'em all.","Misc","no","TGStation","score","1"
"Unlocked PDA Themes","Any special PDA theme that you've installed on your PDA, which will then be added to your roundstart PDA on future rounds as well.","Misc","no","TGStation","score","1"
"Legendary miner","No mere rock can stop me!","Misc","no","Monkestation, Shiptest, TGStation","achievement","3"
"Legendary fisher","Give a spaceman a fish and you feed him for a while; teach a spaceman to fish and you feed him until the shuttle arrives.","Misc","no","Monkestation, TGStation","achievement","2"
"Swarm Beacon Killer","GET THEM OFF OF ME!","Misc","no","BeeStation","achievement","1"
"Swarm Beacon Crusher","GET THEM OFF OF ME!","Misc","no","BeeStation","achievement","1"
"Overextended The Joke","Speak no evil, hear no evil, see just errors","Misc","no","BeeStation","achievement","1"
"Crossing the Horizon","Someone submit an OSHA complaint about that CE!","Misc","no","BeeStation","achievement","1"
"KILLMEKILLMEKILLME","Green, Mean, Honking Machine","Misc","no","BeeStation","achievement","1"
"Survival of the Fittest","Sun's out, guns out!","Misc","no","BeeStation","achievement","1"
"WHOOSH!","Pushing down on me, pressing down on you.","Misc","no","BeeStation","achievement","1"
"Greentext","A winner is you!","Misc","no","BeeStation, Yogstation","achievement","2"
"NYOOOOM","You're Walter, and not the Warden's dog.","Misc","no","BeeStation","achievement","1"
"Soyboy","Drank soymilk.","Misc","no","BeeStation","achievement","1"
"Dave, my mind is going","Open the pod bay doors, H.O.N.K.E.R.S.","Misc","no","BeeStation","achievement","1"
"That was stupid of you.","(distant explosion noises)","Misc","no","BeeStation","achievement","1"
"Please just end the pain","Shuffling off this mortal coil while the getting's good.","Misc","no","BeeStation","achievement","1"
"G-G-Ghosts?","Some people say that being a ghost is better than being alive. You don't have much of a choice now.","Misc","no","BeeStation","achievement","1"
"Veteran","You've spent a lot of time on this game, have a reward!","Misc","no","BeeStation","achievement","1"
"Seasoned Veteran","You could have gotten a bachelor's degree with this time.","Misc","no","BeeStation","achievement","1"
"Grilled Seasoned Veteran","Easy come, easy go.","Misc","no","BeeStation","achievement","1"
"Sous Vide Grilled Seasoned Veteran","Good lord, you've spent half a year playing this game.","Misc","no","BeeStation","achievement","1"
"Best Meal of My Life","Also Ate Zarathustra","Misc","no","BeeStation","achievement","1"
"Mind the Gap","Pays to be prepared","Misc","no","BeeStation","achievement","1"
"This Lousy Achievement","Not worth the effort","Misc","no","BeeStation","achievement","1"
"Let's Play GLOBAL THERMONUCLEAR WAR","Wouldn't you rather play chess?","Misc","no","BeeStation","achievement","1"
"Little Chickadee","No, well, ten beers","Misc","no","BeeStation","achievement","1"
"Perfect chemistry blossom","Passed the chemistry tutorial with perfect purity!","Misc","no","Monkestation","achievement","1"
"Rule 1","Call an admin this is ILLEGAL!!","Misc","no","Monkestation","achievement","1"
"Secrets behind the Spider Door","You managed to open a gate into the mansus.","Misc","no","Monkestation","achievement","1"
"The Jared Leto of fruits","Cantelopes dumb friend they insist on bringing to the party. The worst part of everything it is in.","Misc","no","Monkestation","achievement","1"
"Nest Exterminator","Watch your step","Misc","no","Shiptest","achievement","1"
"Nest Score","Watch your step","Misc","no","Shiptest","score","1"
"Rule 3","Call an admin this is ILLEGAL!!","Misc","no","Shiptest","achievement","1"
"Kick Ass and Chew Bubblegum","Kill Bubblegum, the king of slaughter demons.","Misc","no","Yogstation","achievement","1"
"I Live Again","As a roboticist, create a cyborg","Misc","no","Yogstation","achievement","1"
"Lifesaver","Successfully defibrillate someone","Misc","no","Yogstation","achievement","1"
"Catastrophe","Emag a particle accelerator","Misc","yes","Yogstation","achievement","1"
"Reverse Card","As a member of the crew, deal a humiliating defeat to the nuclear team","Misc","no","Yogstation","achievement","1"
"Delta Alert","As a nuclear operative, score a major or minor victory","Misc","no","Yogstation","achievement","1"
"Honorary Nukie","Kill yourself using the nuclear authentication disk","Misc","yes","Yogstation","achievement","1"
"Badass Syndie","As a traitor, complete your objectives without buying any items","Misc","no","Yogstation","achievement","1"
"Lead Lined","Survive an explosion while inside of a freezer","Misc","yes","Yogstation","achievement","1"
"Scholars of the Arcane","As a wizard, complete your objectives","Misc","no","Yogstation","achievement","1"
"Breath of Life","Perform CPR on someone...","Misc","no","Yogstation","achievement","1"
"Breath of Death","... with incompatible lungs","Misc","yes","Yogstation","achievement","1"
"The Thing","As a changeling, complete your objectives","Misc","no","Yogstation","achievement","1"
"The Dark Shadow","As a darkspawn, ascend successfully","Misc","no","Yogstation","achievement","1"
"Flatlined","You died","Misc","no","Yogstation","achievement","1"
"Back to Carbon","Get cremated","Misc","no","Yogstation","achievement","1"
"Burn in Hell","Get cremated... alive","Misc","yes","Yogstation","achievement","1"
"Silence Bird!","As a network admin, create a script that mutes poly","Misc","yes","Yogstation","achievement","1"
"Embrace the Bird!","As a network admin, create a script that makes poly LOUD","Misc","yes","Yogstation","achievement","1"
"King of Credits","As the QM, beat the current record of cargo credits: ","Misc","no","Yogstation","achievement","1"
"You Spin Me Round","Use a surgical drill to spin right round like a record baby","Misc","yes","Yogstation","achievement","1"
"Duke of Ducats","As the QM, have a million cargo credits by the end of the round","Misc","no","Yogstation","achievement","1"
"On my authority","Trigger a keycard authentication device event, by yourself.","Misc","no","Yogstation","achievement","1"
"Brain Damage","Dab.","Misc","yes","Yogstation","achievement","1"
"Clocking In","As a servant of Ratvar, summon Ratvar","Misc","no","Yogstation","achievement","1"
"Ratvar's Hand","As the Eminence, summon Ratvar","Misc","no","Yogstation","achievement","1"
"Blood Rites","As a member of blood cult, summon Nar'sie","Misc","no","Yogstation","achievement","1"
"Master of Blood","As a cult master, summon Nar'sie","Misc","no","Yogstation","achievement","1"
"Down with Nanotrasen","As a revolutionary, complete your objectives","Misc","no","Yogstation","achievement","1"
"Viva la Revolution!","As a head revolutionary, complete your objectives","Misc","no","Yogstation","achievement","1"
"Turf War","As a gang member, take over the station","Misc","no","Yogstation","achievement","1"
"\","As a gang leader, take over the station","Misc","no","Yogstation","achievement","4"
"Grey Goo","As a blob, complete your objectives","Misc","no","Yogstation","achievement","1"
"Triple Cross","As an internal affairs agent, complete your objectives","Misc","no","Yogstation","achievement","1"
"Quadruple Cross","As an external affairs agent, complete your objectives","Misc","no","Yogstation","achievement","1"
"Space Aids","As a sentient disease, survive and complete your objectives","Misc","no","Yogstation","achievement","1"
"Yaaaahr!","As member of the pirate crew, collect sufficient bounty from the crew","Misc","no","Yogstation","achievement","1"
"Count de Ville","As a vampire, complete your objectives","Misc","no","Yogstation","achievement","1"
"From The Shadows","As a revenant, complete your objectives","Misc","no","Yogstation","achievement","1"
"Mission Failed, We'll Get'em Next Time","As an antagonist, fail your objectives.","Misc","no","Yogstation","achievement","1"
"Arcane Failure","As a wizard, fail your objectives.","Misc","yes","Yogstation","achievement","1"
"Isaac Clarke","Survive a full round as part of the Engineering team.","Misc","no","Yogstation","achievement","1"
"Honest Work","Set up one of the solar arrays as part of the Engineering team.","Misc","no","Yogstation","achievement","1"
"Nice and Toasty","Get set on fire in a fire-resistant suit.","Misc","no","Yogstation","achievement","1"
"Glory to Cargonia","Survive a full round as part of the Supply department.","Misc","no","Yogstation","achievement","1"
"Top 1%","Have one million credits on your ID.","Misc","no","Yogstation","achievement","1"
"Five Year Plan","As a member of the Supply department, complete ten bounties.","Misc","no","Yogstation","achievement","1"
"1.21 Jiggawatts","Complete the Chief Engineer objective of earning one hundred thousand (100000) credits from the PTL. Great Scott!","Goon","no","Goonstation","achievement","1"
"40K","Complete the Miner objective of fabricating 3 industrial armor suits by the end of the round.","Goon","no","Goonstation","achievement","1"
"A shocking demise","As an Arcfiend, stop at least six hearts using Jolt. It is not cumulative; you must do this within a single round. Jolt costs 200 energy, so you also need to sap at least 1200 (6 x 200) energy. You get this medal at the end of the round, rather than the moment you reach six hearts stopped, so that the OOC medal announcement doesn't expose your presence.","Goon","no","Goonstation","achievement","1"
"Better to burn out, than fade away","Complete the Scientist objective and Research Director objective of escaping on the emergency shuttle while on fire with the chemical Silver Sulfadiazine in your system.","Goon","no","Goonstation","achievement","1"
"Bill Masen","Complete the Botanist objective of having three mutated plants alive at the end of the round.","Goon","no","Goonstation","achievement","1"
"Black and Blue","As in, your corpse is black and blue. Blue, because you're dead and aren't getting oxygen, and black, because you died with 400 seconds of Burning, at which point the tooltip for the status effects says you're ""extremely on fire"". Dying via the suicide command renders you ineligible for this medal.","Goon","no","Goonstation","achievement","1"
"Block Stacker","Score 30,000 points on Robustris Pro.","Goon","no","Goonstation","achievement","1"
"Brown Pants","The medal's icon illustrates it very well: as a Captain, you must successfully insert the authentication disk into the Nuclear Operatives' nuclear bomb. The ""nuke ops"" aren't going to let you do that without a fight, so if you want this medal, then follow the medal description and ""show no fear in the face of battle""! You cannot obtain this medal by inserting the auth disk into a micronuke(or its defended variant), even though that bomb also accepts the disk. The admin-spawned ""event nukes"" don't work either. Only full-sized ones from the Nuclear Emergency mode count!","Goon","no","Goonstation","achievement","1"
"Bury the Dead","Complete the Chaplain objective of having zero corpses on station at the end of the round.","Goon","no","Goonstation","achievement","1"
"Call 1-800-CODER","runtime error: Cannot execute player.unlock_medal() (Cause Goonstation's code to return an error. This does not necessarily mean youвЂ™ll get an error message on your end. However, it does show up on the adminsвЂ™ log of runtimes/errors.)","Goon","no","Goonstation","achievement","1"
"Contributor","You cannot get this medal on your own. An admin has to give it to you. This medal is typically bestowed on people who have made major contributions to the game, such as by fixing dozens of bugs or doing lots of re-sprites. As the Goonhub description puts it, thanks <3","Goon","no","Goonstation","achievement","1"
"Cream of the Crop","As a Wrestler complete all of your objectives.","Goon","no","Goonstation","achievement","1"
"Damned","Die via the suicide command; just enter suicide in the command bar/text parser at the bottom of your screen. The command offers a lot of different ways to die depending on what objects you're holding, what devices you're next to, and whether you're a human, cyborg, etc., and they all make you eligible for the medal, so just pick one you like. Just go through with it; if you use the command but cancel at the prompt, you won't get the medal, so merely entering the command isn't enough.","Goon","no","Goonstation","achievement","1"
"Dangerous Game","As a hunter collect enough a high enough value of skulls to complete your objective.","Goon","no","Goonstation","achievement","1"
"Dead or alive, you're coming with me","Complete the Security Officer objective or Head of Security objective of having an antagonist in handcuffs on the escape shuttle at the end of the round.","Goon","no","Goonstation","achievement","1"
"Dracula Jr.","As a Vampire accumulate enough blood to complete the""Accumulate at least [number] units of blood in total"" objective.","Goon","no","Goonstation","achievement","1"
"DUI","Driving under the influence while on a MULEBot, specifically. Run someone over with a MULEBot while riding on it and while you have some ethanol in your system. One unit, ten, hundred, doesn't matter how much. This can hurt quite a lot, so if you're not an antagonist, don't do this without a good reason. (If you are an antag, go right ahead.)","Goon","no","Goonstation","achievement","1"
"Expendable","Die as a Revolutionary, specifically a regular one, not a Head Revolutionary. If you died via the suicide verb, it doesn't count towards this medal, but otherwise, it doesn't matter how you go, comrade.","Goon","no","Goonstation","achievement","1"
"Fell down the stairs","Die while handcuffed. Again, it doesn't matter how you die, so long as you didn't use the suicide command for it (which is somewhat of a shame since cuffs have a unique suicide.) Having shackles doesn't count for this, but zipties/plastic cuffs and silver handcuffs do, as do regular handcuffs, obviously. Since the code counts them as handcuffs, being duct-taped also works.","Goon","no","Goonstation","achievement","1"
"Fish","Late join into an ongoing round for the first time.","Goon","no","Goonstation","achievement","1"
"For Your Ohm Good","Get vaporized by walking into an extremely high-power power transmission laser. The laser needs somewhere in the range of at least 200 Megawatts to gib you.","Goon","no","Goonstation","achievement","1"
"Fun Times","Participate in one of the contests on the forums. These used to be monthly, but now they're enacted on admin discretion. Contests usually last a few weeks, and the admins take care to announce them, so as long as you check back on the forums from time to time, you won't miss out.","Goon","no","Goonstation","achievement","1"
"Glass Ceiling","Complete the Staff Assistant objective of having a non-assistant ID assigned to you at the end of the round. This ranges from easy to impossible depending on the presence of the Head of Personnel.","Goon","no","Goonstation","achievement","1"
"Good Feasting","As a werewolf, reach your objective number of victims fed on.","Goon","no","Goonstation","achievement","1"
"Gore Fest","Get gibbed. If you're unfamiliar with that term, it means your body basically explodes into a mess of body parts and assorted remains, often due to an explosion. It doesn't necessary have to be human remains; getting gibbed as a cyborg, critter, etc. counts. Unlike many other death-related medals, this one doesn't care if you used the suicide command.","Goon","no","Goonstation","achievement","1"
"Guardin' Gnome","Complete the Staff Assistant objective of ensuring Gnome Chompski is on the emergency shuttle OR escape on the emergency shuttle as any role with Gnome Chompski in your inventory. Gnome Chompski can be found in hidden locations on several maps. Be careful not to lose sight of him! He teleports when he is out of sight.","Goon","no","Goonstation","achievement","1"
"High Five!","While there is indeed a high-five emote, you don't earn it via that. Instead, you need to shock someone with stun gloves.","Goon","no","Goonstation","achievement","1"
"HIGH VOLTAGE","Get electrocuted in some way; you don't necessarily have to die because of it. The game actually offers quite a few ways to earn this: getting shocked by a wire, an APC, or a door all work as you'd expect, but so does walking into an active singularity engine's containment field, getting zapped by a GuardBuddy with an Elektro-Arc tool module, and getting hit by any of the various Adventure Zone enemies that attack with electricity.","Goon","no","Goonstation","achievement","1"
"honk HONK mother FU-","Complete the Staff Assistant objective of wearing at least one piece of Clown clothing at the end of the round.","Goon","no","Goonstation","achievement","1"
"HUMANOID MUST NOT ESCAPE","Die on the escape shuttle. Doesn't matter how, so long as it wasn't through the suicide command. Since the shuttle is so tightly packed, it's a frequent target for antagonists on a murder spree, so you might earn this medal without even trying to.","Goon","no","Goonstation","achievement","1"
"I don't give a shit","Complete the Staff Assistant objective of having your butt by any means at the end of the round. A safe bet for having your butt removed is usually visiting Robotics though they may want it for reasons.","Goon","no","Goonstation","achievement","1"
"I helped!","End a round as a Security Assistant.","Goon","no","Goonstation","achievement","1"
"I'm In","Successfully gain superuser access on a TermOS terminal via the su command. The AI, Captain, Cyborgs, Head of Security, and Research Director all spawn with superuser access, and it's possible to spoof it via certain commands.","Goon","no","Goonstation","achievement","1"
"It's frickin' freezing in here, Mr. Bigglesworth","Complete the Medical Doctor objective and Medical Director objective of having the Medical Objects#Cryogenic Healing Pod on and under 225K at the end of the round.","Goon","no","Goonstation","achievement","1"
"It's just a flesh wound!","Make it to Central Command (aka, CentCom) with a bullet (or more) embedded in you. The precise type doesn't matter, and you can have multiple bullets lodged in you. Shrapnel doesn't count.","Goon","no","Goonstation","achievement","1"
"It's not 'Door to Heaven'","Complete the Engineer objective of having at least two functional command teleporters","Goon","no","Goonstation","achievement","1"
"Jimi Heselden","Ride a segway into outer space/ the sea. A reference to Jimi Heselden, an executive (but not founder or inventor) of Segway, Inc. who famously ran off a cliff while on a Segway. He died as a result of that, but you don't actually need to die to earn this medal, just enter space/sea.","Goon","no","Goonstation","achievement","1"
"Law 1: Don't be an asshat","Asimov's laws were definitely behind, because ol' Isaac did not foresee a robot wearing someone's ass as a hat. As the medal image shows, you need to put a butt on the AI's core unit, which, by default, spawns in the AI Chamber.","Goon","no","Goonstation","achievement","1"
