"Source","Kind","Id","Name","Desc","Category","Secret"
"TGStation","achievement","misc/ascension","Ascension","Caedite eos. Novit enim Dominus qui sunt eius.","Misc","no"
"TGStation","achievement","misc/ash_ascension","Nightwatcher's Eyes","You've risen above the flames, became one with the ashes. You've been reborn as one with the Nightwatcher.","Misc","no"
"TGStation","achievement","misc/flesh_ascension","Vortex of Arms","You've became something more, something greater. A piece of the emperor resides within you, and you within him.","Misc","no"
"TGStation","achievement","misc/rust_ascension","Hills of Rust","You've summoned a piece of the Hill of rust, and so the Hills welcome you.","Misc","no"
"TGStation","achievement","misc/void_ascension","All that perish","Place of a different being, different time. Everything ends there... but maybe it is just the beginning?","Misc","no"
"TGStation","achievement","misc/blade_ascension","Silver and Steel","You've become the master of all duellists - the paragon of blades.","Misc","no"
"TGStation","achievement","misc/cosmic_ascension","It arrived","You managed to teleport an entity on the station that really shouldn't be there.","Misc","no"
"TGStation","achievement","misc/lock_ascension","Secrets of the Locked Labyrinth","You managed to open a gate into the mansus.","Misc","no"
"TGStation","achievement","misc/moon_ascension","The Last Act","You managed to become the ringleader and slay the lie.","Misc","no"
"TGStation","achievement","misc/grand_ritual_finale","Archmage","Made a big impression on the station with your phenomenal cosmic power.","Misc","no"
"TGStation","achievement","misc/toolbox_soul","SOUL'd Out","My eternal soul was destroyed to make a toolbox look funny and all I got was this achievement...","Misc","no"
"TGStation","achievement","misc/hot_damn","Hot Damn!","Sometimes you need to make some noise to make a point.","Misc","no"
"TGStation","achievement","misc/cayenne_disk","Very Important Piscis","You can rest well now.","Misc","no"
"TGStation","achievement","misc/tram_surfer","Tram Surfer","Lights out, guerilla radio!","Misc","no"
"TGStation","achievement","misc/cult_shuttle_omfg","WHAT JUST HAPPENED","As a blood cultist, be part of a team that summons 3 shuttle curses within 10 seconds. Imagine cleaning up after them, g r o s s!","Misc","no"
"TGStation","achievement","misc/clickbait","Clickbait","Where's my free smartphone?!?","Misc","no"
"TGStation","achievement","misc/narsupreme","If Nar'Sie is so good, why isn't there a...","Even interdimensional space deitys need a friend.","Misc","no"
"TGStation","achievement","misc/springlock","The Man Inside the MODsuit","Ignore the warning label on a springlock MODsuit.","Misc","no"
"TGStation","achievement","misc/healthy","The Picture of Health","Don't be such a baby, it's just a heart attack. You've bounced back from worse!","Misc","no"
"TGStation","achievement","misc/gods_wrath","God's Wrath","Did you think you could get away with defiling the word of God?","Misc","no"
"TGStation","achievement","misc/earthquake_victim","A Nasty Fall","...And the earth opened its mouth and swallowed them and their station- all the HOP's men and all their possessions.","Misc","no"
"TGStation","achievement","misc/debt_extinguished","Outdebted","I've paid my dues, shift after shift... I've done my sentence but commited no griff...","Misc","no"
"TGStation","achievement","misc/sisyphus","Ordeal of Sisyphus","Successfully carry a boulder from Lavaland all the way to Centcom, without ever dropping it. We must imagine you're happy to unlock this.","Misc","no"
"TGStation","achievement","misc/cigarettes","Unhealthy Snacks","You were curious to taste it. And then another. You must have more!","Misc","no"
"TGStation","achievement","misc/sharkdragon","You're What You Eat","Nutritionists often recommend a balanced and varied diet. However that clearly isn't the case for some creatures.","Misc","no"
"TGStation","achievement","misc/desensitized","In Flanders Fields","","Misc","no"
"TGStation","score","hardcore_random","Hardcore random points","Well, I might be a blind, deaf, crippled guy, but hey, at least I'm alive.","Misc","no"
"TGStation","score","maintenance_pill","Maintenance Pills Consumed","Wait why?","Misc","no"
"TGStation","score","intento_score","Intento Score","A blast from the future?","Misc","no"
"TGStation","score","style_score","Style Score","You might not be a robot, but you were damn close.","Misc","no"
"TGStation","score","progress/fish","Fish Species Caught","How many different species of fish you've caught so far. Gotta fish 'em all.","Misc","no"
"TGStation","score","progress/pda_themes","Unlocked PDA Themes","Any special PDA theme that you've installed on your PDA, which will then be added to your roundstart PDA on future rounds as well.","Misc","no"
"TGStation","achievement","skill/legendary_miner","Legendary miner","No mere rock can stop me!","Misc","no"
"TGStation","achievement","skill/legendary_fisher","Legendary fisher","Give a spaceman a fish and you feed him for a while; teach a spaceman to fish and you feed him until the shuttle arrives.","Misc","no"
"BeeStation","achievement","boss/tendril_exterminator","Tendril Exterminator","Watch your step","Misc","no"
"BeeStation","achievement","boss/boss_killer","Boss Killer","You've come a long ways from asking how to switch hands.","Misc","no"
"BeeStation","achievement","boss/blood_miner_kill","Blood-drunk Miner Killer","I guess he couldn't handle his drink that well.","Misc","no"
"BeeStation","achievement","boss/bubblegum_kill","Bubblegum Killer","I guess he wasn't made of candy after all","Misc","no"
"BeeStation","achievement","boss/colussus_kill","Colossus Killer","The bigger they are... the better the loot","Misc","no"
"BeeStation","achievement","boss/drake_kill","Drake Killer","Now I can wear Rune Platebodies!","Misc","no"
"BeeStation","achievement","boss/hierophant_kill","Hierophant Killer","Hierophant, but not triumphant.","Misc","no"
"BeeStation","achievement","boss/legion_kill","Legion Killer","We were many..now we are none.","Misc","no"
"BeeStation","achievement","boss/swarmer_beacon_kill","Swarm Beacon Killer","GET THEM OFF OF ME!","Misc","no"
"BeeStation","achievement","boss/blood_miner_crusher","Blood-drunk Miner Crusher","I guess he couldn't handle his drink that well.","Misc","no"
"BeeStation","achievement","boss/bubblegum_crusher","Bubblegum Crusher","I guess he wasn't made of candy after all","Misc","no"
"BeeStation","achievement","boss/colussus_crusher","Colossus Crusher","The bigger they are... the better the loot","Misc","no"
"BeeStation","achievement","boss/drake_crusher","Drake Crusher","Now I can wear Rune Platebodies!","Misc","no"
"BeeStation","achievement","boss/hierophant_crusher","Hierophant Crusher","Hierophant, but not triumphant.","Misc","no"
"BeeStation","achievement","boss/legion_crusher","Legion Crusher","We were many... now we are none.","Misc","no"
"BeeStation","achievement","boss/swarmer_beacon_crusher","Swarm Beacon Crusher","GET THEM OFF OF ME!","Misc","no"
"BeeStation","achievement","misc/meteor_examine","Your Life Before Your Eyes","Take a close look at hurtling space debris","Misc","no"
"BeeStation","achievement","misc/pulse","Jackpot","Win a pulse rifle from an arcade machine","Misc","no"
"BeeStation","achievement","misc/time_waste","Overextended The Joke","Speak no evil, hear no evil, see just errors","Misc","no"
"BeeStation","achievement","misc/feat_of_strength","Feat of Strength","If the rod is immovable, is it passing you or are you passing it?","Misc","no"
"BeeStation","achievement","misc/round_and_full","Round and Full","Well at least you aren't down the river, I hear they eat people there.","Misc","no"
"BeeStation","achievement","misc/singularity_death","Crossing the Horizon","Someone submit an OSHA complaint about that CE!","Misc","no"
"BeeStation","achievement","misc/cluwne","KILLMEKILLMEKILLME","Green, Mean, Honking Machine","Misc","no"
"BeeStation","achievement","misc/weights","Survival of the Fittest","Sun's out, guns out!","Misc","no"
"BeeStation","achievement","misc/pressure","WHOOSH!","Pushing down on me, pressing down on you.","Misc","no"
"BeeStation","achievement","misc/greentext","Greentext","A winner is you!","Misc","no"
"BeeStation","achievement","misc/meth","NYOOOOM","You're Walter, and not the Warden's dog.","Misc","no"
"BeeStation","achievement","misc/soy","Soyboy","Drank soymilk.","Misc","no"
"BeeStation","achievement","misc/laws","Dave, my mind is going","Open the pod bay doors, H.O.N.K.E.R.S.","Misc","no"
"BeeStation","achievement","misc/welderbomb","That was stupid of you.","(distant explosion noises)","Misc","no"
"BeeStation","achievement","misc/succumb","Please just end the pain","Shuffling off this mortal coil while the getting's good.","Misc","no"
"BeeStation","achievement","misc/ghosts","G-G-Ghosts?","Some people say that being a ghost is better than being alive. You don't have much of a choice now.","Misc","no"
"BeeStation","achievement","misc/the_best_driver","The Best Driver","100 honks later","Misc","no"
"BeeStation","achievement","misc/onekhours","Veteran","You've spent a lot of time on this game, have a reward!","Misc","no"
"BeeStation","achievement","misc/twokhours","Seasoned Veteran","You could have gotten a bachelor's degree with this time.","Misc","no"
"BeeStation","achievement","misc/threekhours","Grilled Seasoned Veteran","Easy come, easy go.","Misc","no"
"BeeStation","achievement","misc/fourkhours","Sous Vide Grilled Seasoned Veteran","Good lord, you've spent half a year playing this game.","Misc","no"
"BeeStation","achievement","misc/mintgib","Best Meal of My Life","Also Ate Zarathustra","Misc","no"
"BeeStation","achievement","misc/chasmjaunt","Mind the Gap","Pays to be prepared","Misc","no"
"BeeStation","achievement","misc/bike","This Lousy Achievement","Not worth the effort","Misc","no"
"BeeStation","achievement","misc/warops","Let's Play GLOBAL THERMONUCLEAR WAR","Wouldn't you rather play chess?","Misc","no"
"BeeStation","achievement","misc/drunk","Little Chickadee","No, well, ten beers","Misc","no"
"BeeStation","achievement","misc/cayenne_disk","Very Important Piscis","You can rest well now.","Misc","no"
"Monkestation","achievement","boss/tendril_exterminator","Tendril Exterminator","Watch your step","Misc","no"
"Monkestation","achievement","boss/boss_killer","Boss Killer","You've come a long ways from asking how to switch hands.","Misc","no"
"Monkestation","achievement","boss/blood_miner_kill","Blood-Drunk Miner Killer","I guess he couldn't handle his drink that well.","Misc","no"
"Monkestation","achievement","boss/demonic_miner_kill","Demonic-Frost Miner Killer","Definitely harder than the Blood-Drunk Miner.","Misc","no"
"Monkestation","achievement","boss/bubblegum_kill","Bubblegum Killer","I guess he wasn't made of candy after all","Misc","no"
"Monkestation","achievement","boss/colossus_kill","Colossus Killer","The bigger they are... the better the loot","Misc","no"
"Monkestation","achievement","boss/drake_kill","Drake Killer","Now I can wear Rune Platebodies!","Misc","no"
"Monkestation","achievement","boss/hierophant_kill","Hierophant Killer","Hierophant, but not triumphant.","Misc","no"
"Monkestation","achievement","boss/legion_kill","Legion Killer","We were many..now we are none.","Misc","no"
"Monkestation","achievement","boss/wendigo_kill","Wendigo Killer","You've now ruined years of mythical storytelling.","Misc","no"
"Monkestation","achievement","boss/blood_miner_crusher","Blood-Drunk Miner Crusher","I guess he couldn't handle his drink that well.","Misc","no"
"Monkestation","achievement","boss/demonic_miner_crusher","Demonic-Frost Miner Crusher","Definitely harder than the Blood-Drunk Miner.","Misc","no"
"Monkestation","achievement","boss/bubblegum_crusher","Bubblegum Crusher","I guess he wasn't made of candy after all","Misc","no"
"Monkestation","achievement","boss/colossus_crusher","Colossus Crusher","The bigger they are... the better the loot","Misc","no"
"Monkestation","achievement","boss/drake_crusher","Drake Crusher","Now I can wear Rune Platebodies!","Misc","no"
"Monkestation","achievement","boss/hierophant_crusher","Hierophant Crusher","Hierophant, but not triumphant.","Misc","no"
"Monkestation","achievement","boss/legion_crusher","Legion Crusher","We were many... now we are none.","Misc","no"
"Monkestation","achievement","boss/wendigo_crusher","Wendigo Crusher","You've now ruined years of mythical storytelling.","Misc","no"
"Monkestation","score","tendril_score","Tendril Score","Watch your step","Misc","no"
"Monkestation","score","boss_score","Bosses Killed","You've killed HOW many?","Misc","no"
"Monkestation","score","blood_miner_score","Blood-Drunk Miners Killed","You've killed HOW many?","Misc","no"
"Monkestation","score","demonic_miner_score","Demonic-Frost Miners Killed","You've killed HOW many?","Misc","no"
"Monkestation","score","bubblegum_score","Bubblegums Killed","You've killed HOW many?","Misc","no"
"Monkestation","score","colussus_score","Colossus Killed","You've killed HOW many?","Misc","no"
"Monkestation","score","drake_score","Drakes Killed","You've killed HOW many?","Misc","no"
"Monkestation","score","hierophant_score","Hierophants Killed","You've killed HOW many?","Misc","no"
"Monkestation","score","legion_score","Legions Killed","You've killed HOW many?","Misc","no"
"Monkestation","score","wendigo_score","Wendigos Killed","You've killed HOW many?","Misc","no"
"Monkestation","achievement","jobs/theoretical_limits","All Within Theoretical Limits","I never thought I'd see a resonance cascade, let alone prevent one...","Misc","no"
"Monkestation","achievement","jobs/sandman","Mister Sandman","Mechanically speaking, there's no real benefit to being unconscious during surgery. Weird how insistent this doctor is about using the N2O anyway though, huh?","Misc","no"
"Monkestation","achievement","jobs/helbitaljanken","Helbitaljanken","You janked hard","Misc","no"
"Monkestation","achievement","jobs/chemistry_tut","Perfect chemistry blossom","Passed the chemistry tutorial with perfect purity!","Misc","no"
"Monkestation","achievement","jobs/frenching","Frenching","Just a taste, for science!","Misc","no"
"Monkestation","achievement","jobs/feat_of_strength","Feat of Strength","If the rod is immovable, is it passing you or are you passing it?","Misc","no"
"Monkestation","achievement","jobs/snail","KKKiiilll mmmeee","You were a little too ambitious, but hey, I guess you're still alive?","Misc","no"
"Monkestation","achievement","jobs/service_bad","Centcom Grade: Shitty Service","Well, you at least tried. How about trying harder?","Misc","no"
"Monkestation","achievement","jobs/service_okay","Centcom Grade: Acceptable Service","Well, it'll do! You and your department did just fine.","Misc","no"
"Monkestation","achievement","jobs/service_good","Centcom Grade: Exemplary Service","Centcom is very impressed with your department!","Misc","no"
"Monkestation","score","chef_tourist_score","Tourists Served as Chef Highscore","Your highscore on serving tourist bots as chef.","Misc","no"
"Monkestation","score","bartender_tourist_score","Tourists Served as Bartender Highscore","Your highscore on serving tourist bots as bartender.","Misc","no"
"Monkestation","achievement","mafia/assistant","Assistant Victory","If you got killed instead of someone more important, you just flexed the true strength of your \","Misc","no"
"Monkestation","achievement","mafia/detective","Detective Victory","If you did this with a Medical Doctor in the game, i'm not really that impressed.","Misc","no"
"Monkestation","achievement","mafia/psychologist","Psychologist Victory","You learned how to not reveal someone random night one! Or... maybe you're just a lucky bastard.","Misc","no"
"Monkestation","achievement","mafia/chaplain","Chaplain Victory","Useless... until the one night the thoughtfeeder confidently claims themselves as detective. Mafia's true bullshit detector.","Misc","no"
"Monkestation","achievement","mafia/md","Medical Doctor Victory","Congratulations on learning how to not talk!","Misc","no"
"Monkestation","achievement","mafia/officer","Security Officer Victory","Don't worry, you can win this if you're dead! You... did use your ability to become dead, right?","Misc","no"
"Monkestation","achievement","mafia/lawyer","Lawyer Victory","Oh don't mind me, i'm just the worst rol- Oops, I just instantly ended the game.","Misc","no"
"Monkestation","achievement","mafia/hop","Head of Personnel Victory","King of Assistants, waster of a single mafia's night, thrower of games.","Misc","no"
"Monkestation","achievement","mafia/warden","Warden Victory","Make changelings think you're detective, go on lockdown, actual detective investigates you and dies. Cha cha real smooth!","Misc","no"
"Monkestation","achievement","mafia/hos","Head of Security Victory","Certified not shitcurity.","Misc","no"
"Monkestation","achievement","mafia/changeling","Changeling Victory","I think the changelings are metacomming.","Misc","no"
"Monkestation","achievement","mafia/thoughtfeeder","Thoughtfeeder Victory","Clown's best friend. And Obsessed. And fugitive? Whose side are you on?!","Misc","no"
"Monkestation","achievement","mafia/traitor","Traitor Victory","Guys, we still have two more changelings to ki-!! TRAITOR VICTORY !!","Misc","no"
"Monkestation","achievement","mafia/nightmare","Nightmare Victory","DID YOUR LIGHT FLICKER?!","Misc","no"
"Monkestation","achievement","mafia/fugitive","Fugitive Victory","I'm just the description on an achievement, but if you end up having to choose between town and changelings, go changelings.","Misc","no"
"Monkestation","achievement","mafia/obsessed","Obsessed Victory","You got your target lynched, so instead of being spiteful and annoying, you're just smug and annoying.","Misc","no"
"Monkestation","achievement","mafia/clown","Clown Victory","Did you know this works on traitors, despite their immunity? If you hit the jackpot and manage to kill one, they'll salt into the next dimension. Clown tips!","Misc","no"
"Monkestation","achievement","mafia/universally_hated","Universally Hated","Managed to get more than 12 votes when put up on trial, jesus christ.","Misc","no"
"Monkestation","achievement","misc/meteor_examine","Your Life Before Your Eyes","Take a close look at hurtling space debris","Misc","no"
"Monkestation","achievement","misc/pulse","Jackpot","Win a pulse rifle from an arcade machine","Misc","no"
"Monkestation","achievement","misc/time_waste","Time waster","Speak no evil, hear no evil, see just errors","Misc","no"
"Monkestation","achievement","misc/round_and_full","Round and Full","Well at least you aren't down the river, I hear they eat people there.","Misc","no"
"Monkestation","achievement","misc/the_best_driver","The Best Driver","100 honks later","Misc","no"
"Monkestation","achievement","misc/getting_an_upgrade","Getting an upgrade","Make your first unique material item!","Misc","no"
"Monkestation","achievement","misc/rocket_holdup","Disk, Please!","Is the man currently pointing a loaded rocket launcher at your head point blank really dumb enough to pull the trigger? Do you really want to find out?","Misc","no"
"Monkestation","achievement","misc/gamer","My Watchlist Status is Not Important","You may be under the impression that violent video games are a harmless pastime, but the security and medical personnel swarming your location with batons and knockout gas look like they disagree.","Misc","no"
"Monkestation","achievement","misc/vendor_squish","I Was a Teenage Anarchist","You were doing a great job sticking it to the system until that vending machine decided to fight back.","Misc","no"
"Monkestation","achievement","misc/swirlie","A Bowl-d New World","There's a lot of grisly ways to kick it on the Spinward Periphery, but drowning to death in a toilet probably wasn't what you had in mind. Probably.","Misc","no"
"Monkestation","achievement","misc/selfouch","How Do I Switch Hands???","If you saw someone casually club themselves upside the head with a toolbox anywhere in the galaxy but here, you'd probably be pretty concerned for them.","Misc","no"
"Monkestation","achievement","misc/cleanboss","One Lean, Mean, Cleaning Machine","How does it feel to know that your workplace values a mop bucket on wheels more than you?","Misc","no"
"Monkestation","achievement","misc/rule8","Rule 1","Call an admin this is ILLEGAL!!","Misc","no"
"Monkestation","achievement","misc/speed_round","Long shift","Well, that didn't take long.","Misc","no"
"Monkestation","achievement","misc/lookoutsir","Look Out, Sir!","Either awarded for making the ultimate sacrifice for your comrades, or a really dumb attempt at grenade jumping.","Misc","no"
"Monkestation","achievement","misc/gottem","HA, GOTTEM","Made you look!","Misc","no"
"Monkestation","achievement","misc/ascension","Ascension","Caedite eos. Novit enim Dominus qui sunt eius.","Misc","no"
"Monkestation","achievement","misc/ash_ascension","Nightwatcher's Eyes","You've risen above the flames, became one with the ashes. You've been reborn as one with the Nightwatcher.","Misc","no"
"Monkestation","achievement","misc/flesh_ascension","Vortex of Arms","You've became something more, something greater. A piece of the emperor resides within you, and you within him.","Misc","no"
"Monkestation","achievement","misc/rust_ascension","Hills of Rust","You've summoned a piece of the Hill of rust, and so the Hills welcome you.","Misc","no"
"Monkestation","achievement","misc/void_ascension","All that perish","Place of a different being, different time. Everything ends there... but maybe it is just the beginning?","Misc","no"
"Monkestation","achievement","misc/blade_ascension","Silver and Steel","You've become the master of all duellists - the paragon of blades.","Misc","no"
"Monkestation","achievement","misc/cosmic_ascension","It arrived","You managed to teleport an entity on the station that really shouldn't be there.","Misc","no"
"Monkestation","achievement","misc/moon_ascension","The Last Act","You managed to become the ringleader and slay the lie.","Misc","no"
"Monkestation","achievement","misc/grand_ritual_finale","Archmage","Made a big impression on the station with your phenomenal cosmic power.","Misc","no"
"Monkestation","achievement","misc/lock_ascension","Secrets behind the Spider Door","You managed to open a gate into the mansus.","Misc","no"
"Monkestation","achievement","misc/toolbox_soul","SOUL'd Out","My eternal soul was destroyed to make a toolbox look funny and all I got was this achievement...","Misc","no"
"Monkestation","achievement","misc/hot_damn","Hot Damn!","Sometimes you need to make some noise to make a point.","Misc","no"
"Monkestation","achievement","misc/cayenne_disk","Very Important Piscis","You can rest well now.","Misc","no"
"Monkestation","achievement","misc/tram_surfer","Tram Surfer","Lights out, guerilla radio!","Misc","no"
